663,Institute of Advanced Research,Gandhinagar
686,Kadi Sarva Vishwavidyalaya,Gandhinagar
715,Kamdhenu University,Gandhinagar
756,Children's University,Gandhinagar
808,Swarnim Gujarat Sports University,Gandhinagar ...
822,Karnavati University,Gandhinagar
823,Indian Institute of Public Health,Gandhinagar
871,Swarnim Startup and Innovation University,Gandhinagar
236,Sikkim Manipal University,Gangtok
678,"ICFAI University, Sikkim",Gangtok
734,Vinayaka Missions Sikkim University,Gangtok
778,"SRM University, Sikkim",Gangtok
804,ISBM University,Gariyaband
521,Santosh University,Ghaziabad
583,Shri Govind Guru University,Godhra
188,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur
212,Madan Mohan Malaviya University of Technology,Gorakhpur
53,Sharda University,Greater Noida
181,Bennett University,Greater Noida
343,Gautam Buddha University,Greater Noida
500,Noida International University,Greater Noida
259,Central University of Karnataka,Gulbarga
709,Gulbarga University,Gulbarga
858,Sharnbasva University,Gulbarga
176,Acharya Nagarjuna University,Guntur
325,Vignan University,Guntur
255,BML Munjal University,Gurgaon
278,The Northcap University,Gurgaon ...
368,Shree Guru Gobind Singh Tricentenary University,Gurgaon
387,Ansal University,Gurgaon
404,GD Goenka University,Gurgaon
482,K.R. Mangalam University,Gurgaon
753,Apeejay Stya University,Gurgaon
802,Starex University,Gurgaon
11,Indian Institute of Technology Guwahati,Guwahati
73,Gauhati University,Guwahati
276,Cotton University,Guwahati
429,Assam Don Bosco University,Guwahati
480,Srimanta Sankaradeva University of Health Sciences,Guwahati
488,Assam Science and Technology University,Guwahati
523,"Indian Institute of Information Technology, Guwahati",Guwahati
524,National Law University and Judicial Academy,Guwahati
532,Assam Down Town University,Guwahati
740,"National Institute of Pharmaceutical Education and Research, Guwahati",Guwahati
101,Jiwaji University,Gwalior
331,Indian Institute of Information Technology and Management Gwalior,Gwalior
423,ITM University Gwalior,Gwalior
457,Lakshmibai National Institute of Physical Education,Gwalior
614,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,Gwalior
773,Raja Mansingh Tomar Music and Arts University,Gwalior
817,"National Institute of Pharmaceutical Education and Research, Hajipur",Hajipur
172,"National Institute of Technology, Hamirpur",Hamirpur
386,Himachal Pradesh Technical University,Hamirpur
710,Career Point University,Hamirpur
483,Monad University,Hapur
393,Gurukul Kangri Vishwavidyalaya,Haridwar
695,University of Patanjali,Haridwar
732,Uttaranchal Sanskrit University,Haridwar
474,Xavier University Bhubaneswar,Harirajpur ...
324,Vinoba Bhave University,Hazaribag
